#{"t_start": 1650888470.1980486, "env_id": "SW-v0"}
r,l,t
1.0,23,22.884999
1.0,46,22.926502
1.0,13,22.938267
1.0,27,22.962363
1.0,58,23.014888
1.0,33,23.045104
1.0,19,23.062237
1.0,40,23.098679
1.0,8,23.105994
1.0,42,23.143815
1.0,16,23.158205
1.0,15,23.171791
1.0,19,23.189033
1.0,21,23.675991
1.0,24,23.701215
1.0,10,23.71089
1.0,22,23.729593
1.0,12,23.739908
1.0,23,23.75949
1.0,24,23.779914
1.0,23,23.799729
1.0,16,23.813661
1.0,14,23.825538
1.0,46,23.864052
1.0,19,23.879853
1.0,14,23.891586
1.0,13,23.902534
1.0,40,23.935623
1.0,21,23.952965
1.0,27,23.975489
1.0,38,24.00843
1.0,39,24.040851
1.0,13,24.052302
1.0,11,24.061446
1.0,20,24.078031
1.0,34,24.106406
1.0,16,24.119829
1.0,12,24.129812
1.0,23,24.149054
1.0,13,24.16003
1.0,12,24.170229
1.0,39,24.20288
1.0,10,24.211176
1.0,18,24.226346
1.0,35,24.255625
1.0,18,24.270541
1.0,23,24.289553
1.0,33,24.31697
1.0,17,24.330998
1.0,17,24.345179
1.0,13,24.356018
1.0,37,24.386152
1.0,47,24.423993
1.0,13,24.434529
1.0,15,24.446574
1.0,22,24.464389
1.0,39,24.496033
1.0,29,24.519104
1.0,12,24.528766
1.0,15,24.540851
1.0,14,24.553213
1.0,14,24.565052
1.0,19,24.580315
1.0,21,24.597064
1.0,15,24.609145
1.0,24,24.628441
1.0,21,24.645474
1.0,10,24.653552
1.0,21,24.670477
1.0,44,24.705841
1.0,13,24.716116
1.0,33,24.742128
1.0,18,24.756413
1.0,23,24.775084
1.0,28,24.797235
1.0,33,24.823715
1.0,22,24.84151
1.0,8,24.847918
1.0,23,24.866117
1.0,20,24.882311
1.0,14,24.893594
1.0,27,24.91492
1.0,44,24.949907
1.0,16,24.962677
1.0,16,24.975377
1.0,22,24.993536
1.0,19,25.01094
1.0,21,25.027895
1.0,26,25.048599
1.0,26,25.06957
1.0,15,25.081585
1.0,11,25.090405
1.0,11,25.099123
1.0,14,25.11039
1.0,19,25.125527
1.0,24,25.144518
1.0,14,25.155716
1.0,30,25.179494
1.0,34,25.207939
1.0,20,25.224061
1.0,10,25.232618
1.0,20,25.248694
1.0,18,25.26298
