#{"t_start": 1653903596.7099578, "env_id": "JTL-v0"}
r,l,t
9993.083333,18,28.767183
9994.0,15,28.785809
9993.416667,14,28.802065
9994.5,12,28.81602
9992.25,18,28.842119
9993.75,15,28.859498
9993.0,21,28.883723
9992.5,21,28.906755
9986.0,32,28.951879
9991.5,20,28.977468
9992.416667,16,29.000212
9989.916667,22,29.02986
9985.833333,31,29.06653
9989.75,31,29.112117
9985.833333,32,29.15896
9990.166667,29,29.195399
9993.583333,13,29.213181
9991.916667,17,29.23668
9986.916667,36,29.299146
9994.416667,13,29.318051
9992.416667,25,29.349299
9991.333333,17,29.367416
9990.75,18,29.387522
9988.416667,38,29.441508
9993.416667,16,29.460858
9989.583333,28,29.499454
9991.416667,22,29.524553
9993.416667,17,29.544641
9992.666667,27,29.576044
9962.416667,77,29.677491
9994.5,12,29.694947
9987.083333,32,29.742523
9976.0,59,29.819079
9992.166667,18,29.837768
9985.416667,38,29.880302
9990.416667,28,29.910069
9993.5,20,29.931871
9993.916667,15,29.947815
9993.333333,16,29.96379
9992.583333,24,29.987181
9992.583333,18,30.005571
9992.75,24,30.030528
9990.833333,28,30.061251
9994.166667,15,30.077463
9993.833333,15,30.09238
9994.5,12,30.105349
9992.083333,19,30.124534
9992.75,18,30.14405
9992.25,24,30.169923
9992.083333,16,30.186005
9992.916667,19,30.204904
9994.25,13,30.218469
9993.916667,14,30.23345
9993.583333,16,30.249325
9988.0,38,30.284616
9993.75,14,30.298109
9991.583333,21,30.318908
9992.833333,17,30.338803
9993.166667,19,30.3578
9992.916667,17,30.375679
9994.5,12,30.3906
9991.666667,21,30.414967
9992.583333,18,30.434374
9989.416667,18,30.455955
9992.583333,17,30.472861
9988.416667,34,30.510645
9989.583333,22,30.535736
9993.416667,18,30.553676
9988.75,40,30.597279
9994.083333,14,30.611878
9988.583333,31,30.645214
9985.916667,46,31.571352
9991.25,22,31.599422
9993.583333,14,31.614104
9992.0,20,31.636703
9994.25,15,31.653652
9994.5,12,31.665673
9993.666667,17,31.681684
9992.25,15,31.698102
9984.5,34,31.736803
9991.0,23,31.765784
9991.833333,23,31.789772
9994.083333,14,31.804163
9994.5,12,31.817198
9993.583333,16,31.833698
9994.25,14,31.849398
9989.583333,18,31.869938
9992.583333,20,31.892673
9993.916667,14,31.907992
9993.583333,17,31.924424
9994.25,14,31.938325
9992.833333,20,31.958188
9993.333333,21,31.979789
9993.833333,16,31.996973
9994.5,12,32.009758
9993.333333,15,32.025947
9993.083333,18,32.047647
9994.0,16,32.066831
9991.833333,21,32.089343
